id:long,start-node:long,end-node:long,length:double,maximum-speed:int,lanes:int,road-type:string,name:string,surface:string,lit:string
1,122480,31370346,302.11380437742514,70,3,motorway,,,
2,125801,30211999,550.087340442763,60,2,trunk,Oldenburger Straße,,
3,125801,21725102,281.1006702100857,50,2,trunk_link,,,
4,125815,29856319,1303.6827509694406,70,2,trunk,Oldenburger Straße,,
5,140464,283317324,179.57551975397436,50,3,secondary,Hasporter Damm,,
6,140464,26605506,143.4012530125167,50,2,secondary,Hasporter Damm,,
7,140464,140465,99.18957528008113,50,3,secondary,Niedersachsendamm,,
8,140465,140464,99.18957528008113,50,3,secondary,Niedersachsendamm,,
9,140465,2016674150,113.37510218755897,50,2,secondary,Niedersachsendamm,,
10,20958816,21107574,138.88327766269833,50,1,secondary,Leher Heerstraße,,
11,20958816,2191734747,12.49131216131343,50,1,residential,Am Herzogenkamp,,
12,20958816,21108148,258.00097035072525,30,1,residential,Luisental,,
13,20958819,21396367,145.3945161057788,50,1,residential,Brucknerstraße,,
14,20958819,20958823,312.2023566248669,50,3,secondary,Leher Heerstraße,,
15,20958823,20973902,9.49944271118521,50,2,secondary,Lilienthaler Heerstraße,,
16,20958823,20973891,89.37008349828568,50,1,secondary,Leher Heerstraße,,
17,20973858,20992593,240.23924630211178,50,2,tertiary,Riensberger Straße,,
18,20973858,20973869,68.2689137851518,50,2,tertiary,Riensberger Straße,,
19,20973864,25761835,316.1802242896669,30,1,residential,Ronzelenstraße,,
20,20973864,20973867,138.73729967986586,50,1,secondary,Horner Heerstraße,,
21,20973867,26242967,11.24339384545176,50,1,secondary,Leher Heerstraße,,
22,20973867,778301185,63.97582513296555,50,1,residential,Berckstraße,,
23,20973869,21095910,313.4913618364312,50,1,secondary,Horner Heerstraße,,
24,20973869,20973867,19.407899313884073,50,1,secondary_link,,,
25,20973870,20974906,15.91893144111638,30,1,residential,Riensberger Straße,,
26,20973870,20973872,79.4307281695468,30,1,residential,Riensberger Straße,,
27,20973870,20974908,127.17675477637215,30,1,residential,Kohlmannstraße,,
28,20973872,20974731,237.65877568667747,30,1,residential,Riekestraße,,
29,20973872,20997187,82.32534618136478,30,1,residential,Riensberger Straße,,
30,20973872,20973870,79.4307281695468,30,1,residential,Riensberger Straße,,
31,20973891,20973902,83.34031195147492,50,3,secondary,Leher Heerstraße,,
32,20973891,21108176,58.45560183616479,50,2,secondary,Leher Heerstraße,,
33,20973894,21108176,148.0642119732197,50,2,secondary,Leher Heerstraße,,
34,20973894,20973895,121.88317660979892,50,2,secondary,Leher Heerstraße,,
35,20973894,20973903,366.77145990188444,32,1,residential,Im Leher Felde,,
36,20973895,29983896,124.31646282270057,41,1,unclassified,Wilhelm-Röntgen-Straße,,
37,20973895,259456928,219.98512018213447,50,2,secondary,Leher Heerstraße,,
38,20973895,20973894,121.88317660979894,50,2,secondary,Leher Heerstraße,,
39,20973901,255188551,87.2318608578446,50,2,secondary,Rockwinkeler Heerstraße,,
40,20973901,20974618,120.61447217599624,50,2,secondary,Oberneulander Heerstraße,,
41,20973901,302076224,268.86802028674504,30,1,residential,Apfelallee,,
42,20973901,302074576,447.3870951756814,50,1,tertiary,Oberneulander Heerstraße,,
43,20973902,2583933439,22.329563609552178,50,1,secondary,Leher Heerstraße,,
44,20973902,20973903,189.75165786712955,50,2,secondary,Lilienthaler Heerstraße,,
45,20973903,20973894,366.7714599018844,32,1,residential,Im Leher Felde,,
46,20973903,20973904,279.5823057422565,50,1,secondary,Lilienthaler Heerstraße,,
47,20973904,29984553,116.77619783133851,30,1,residential,Werner-von-Siemens-Straße,,
48,20973904,21110255,13.742039347025578,30,1,residential,Werner-von-Siemens-Straße,,
49,20973904,2046504582,482.0063523665927,50,2,secondary,Lilienthaler Heerstraße,,
50,20973907,21110248,12.701164288559067,50,1,secondary,Lilienthaler Heerstraße,,
51,20973907,252700231,174.75873304722066,50,2,primary,Autobahnzubringer Horn-Lehe,,
52,20973910,2669647882,76.41565015582434,50,2,primary,Autobahnzubringer Horn-Lehe,,
53,20973910,20973911,183.4538298495021,50,4,primary,Autobahnzubringer Horn-Lehe,,
54,20973911,1985526651,62.757275186190874,50,3,primary,Autobahnzubringer Horn-Lehe,,
55,20973911,20973910,183.45382984950214,50,4,primary,Autobahnzubringer Horn-Lehe,,
56,20973916,21110242,212.29347142527,50,1,trunk,Autobahnzubringer Horn-Lehe,,
57,20973916,26780263,394.0386275582901,50,4,primary,Autobahnzubringer Horn-Lehe,,
58,20973971,21992225,209.18775570413501,120,2,motorway_link,,,
59,20973971,25840294,1579.582486406543,120,3,motorway,,,
60,20973973,3634177055,680.8716802147169,50,2,motorway_link,,,
61,20974059,25747443,77.26334523075337,50,1,residential,Fedelhören,,
62,20974059,20974060,21.62770007581363,50,2,secondary,Am Dobben,,
63,20974060,1987081939,36.1955715956751,50,3,secondary,Am Dobben,,
64,20974060,25734004,261.076933103757,50,2,primary,Ernst-Glässel-Straße,,
65,20974085,21638899,15.105195038086524,30,1,residential,Metzer Straße,,
66,20974085,26712627,248.1352429987466,30,1,secondary,Schwachhauser Heerstraße,,
67,20974085,26712614,39.52704924928215,30,1,residential,Metzer Straße,,
68,20974091,26712625,141.8537931378934,30,1,residential,Orleansstraße,,
69,20974091,20974094,159.45919988576782,50,1,secondary,Schwachhauser Heerstraße,,
70,20974094,242160887,78.00440762595403,50,2,secondary,Kirchbachstraße,,
71,20974094,26242923,17.629259071601197,50,1,secondary,Schwachhauser Heerstraße,,
72,20974096,20974098,107.80852387272157,50,1,secondary,Schwachhauser Heerstraße,,
73,20974098,20992613,290.70374079119165,30,1,residential,Buchenstraße,,
74,20974098,20974100,99.67870973278556,50,1,secondary,Schwachhauser Heerstraße,,
75,20974100,12043229617,227.22927491759398,32,1,residential,Rosemarie-Pohl-Weber-Straße,,
76,20974100,21261666,271.00638003197946,50,1,secondary,Schwachhauser Heerstraße,,
77,20974618,20973901,120.61447217599623,50,2,secondary,Oberneulander Heerstraße,,
78,20974618,30964123,337.36061854700534,50,2,secondary,Oberneulander Heerstraße,,
79,20974618,3197026108,196.7067443784198,50,1,living_street,Am Holdheim,,
80,20974622,255188658,53.476448287404985,50,2,secondary,Rockwinkeler Heerstraße,,
81,20974622,255188551,48.74799083659988,50,2,secondary,Rockwinkeler Heerstraße,,
82,20974622,267409913,302.32358412641446,50,1,residential,Worphauser Straße,,
