id:long,latitude:double,longitude:double
122480,53.0354738,8.6765522
125801,53.0707458,8.7820797
125815,53.0531576,8.736811
125834,53.0350249,8.6203969
140464,53.0318282,8.6535932
140465,53.0324181,8.6547001
20958816,53.0984451,8.8710006
20958819,53.1013316,8.8760009
20958823,53.101634,8.8805731
20973858,53.0974051,8.86891
20973864,53.0959036,8.8706285
20973867,53.0971022,8.87012
20973869,53.0971582,8.8698447
20973870,53.0951195,8.8646679
20973872,53.0958178,8.8649145
20973891,53.1012015,8.8816331
20973894,53.1002332,8.8842715
20973895,53.099723,8.8858872
20973901,53.100125,8.9026586
20973902,53.1016854,8.8806867
20973903,53.103151,8.8821176
20973904,53.1053144,8.8842517
20973907,53.109207,8.8878168
20973910,53.1109904,8.8824285
20973911,53.112032,8.880339
20973916,53.1159875,8.8757054
20973971,53.1395794,8.7429251
20973973,53.1734561,8.7161366
20974059,53.0787097,8.8224002
20974060,53.0785987,8.822666
20974085,53.083065,8.8416396
20974091,53.0849574,8.847543
20974094,53.0850947,8.8498995
20974096,53.0853043,8.8511974
20974098,53.0860206,8.8522839
20974100,53.0867042,8.8532472
20974618,53.0997043,8.9009935
20974622,53.0992537,8.9040876
20974624,53.0981072,8.9061631
20974625,53.0975929,8.9072892
20974628,53.0954519,8.9120872
20974632,53.0931943,8.9167189
20974643,53.0903412,8.9354075
20974644,53.0909458,8.9372529
20974686,53.0973375,8.8819192
20974687,53.0969837,8.8853698
20974700,53.0970778,8.8863347
20974701,53.0969525,8.8881076
20974704,53.0987702,8.8897897
20974707,53.0978664,8.8909028
20974715,53.0984002,8.8936645
20974718,53.0985183,8.8914171
20974731,53.0952464,8.8679188
20974906,53.0949843,8.8645895
20974908,53.0946464,8.8663486
20980322,53.0870281,8.8509752
20980325,53.0861318,8.8522765
20980326,53.0887391,8.8563714
20980329,53.0894575,8.8563842
20980330,53.0906647,8.8568201
20980335,53.0925461,8.8573166
20980341,53.0941689,8.854545
20980347,53.0952894,8.8522857
20980348,53.0956417,8.8517186
20980355,53.0967936,8.8535394
20980385,53.092489,8.8626445
20980388,53.094171,8.8640289
20980398,53.0938068,8.8539663
20980428,53.1034362,8.8490184
20980429,53.1035094,8.8487743
20980433,53.1022224,8.8480166
20980438,53.1022997,8.8477759
20980448,53.1015768,8.8540933
20980455,53.1030749,8.8554592
20980458,53.1044507,8.8525311
20980459,53.1050611,8.850332
20980461,53.1030945,8.8569422
20980462,53.1033742,8.8558018
20980466,53.1028296,8.8594141
20980472,53.1068285,8.8518181
20980484,53.1122213,8.8564461
20980485,53.1123009,8.8561825
20980487,53.1106106,8.8548161
20980488,53.1105417,8.8550372
20980492,53.109671,8.8579216
20980493,53.1113384,8.8593698
20980494,53.1120617,8.85997
20980506,53.1065482,8.8549872
20980507,53.1062104,8.8544347
20980511,53.1045493,8.8526258
20980529,53.1050001,8.8530964
20992558,53.0972046,8.8630963
20992566,53.0900093,8.8580633
20992593,53.0975299,8.8658409
20992601,53.0901481,8.8628492
20992609,53.0884771,8.8611209
20992610,53.0878686,8.8603197
20992611,53.0868194,8.8589169
20992613,53.0843173,8.855586
20992614,53.0841667,8.8553811
20992616,53.0829369,8.8532892
20992618,53.0844556,8.8508299
20994026,53.0935346,8.8535157
20995636,53.1127709,8.8476242
20995700,53.1059475,8.8425738
20995706,53.1061801,8.8455032
20997187,53.0965416,8.8651732
21026339,53.1091542,8.8880182
21030845,53.0710814,8.78565
21030846,53.0710825,8.7854542
21030847,53.0709697,8.7854506
21030850,53.0705649,8.7863334
21030851,53.0699051,8.7874922
21030852,53.0717981,8.7843257
21030854,53.0733299,8.7863187
21030857,53.0691301,8.7888723
21030861,53.0645858,8.7969074
21030862,53.0627271,8.7995615
21030863,53.0617666,8.8009409
21030865,53.0710399,8.78922
21030868,53.0739065,8.7934229
21030869,53.0743366,8.7940626
21030870,53.0751723,8.7953919
21030886,53.0829475,8.8085963
21050483,53.0915213,8.8718501
21050495,53.0915576,8.8715593
21050507,53.0886296,8.8704361
21050511,53.087633,8.8706745
21050512,53.0875277,8.8709132
21050517,53.0858379,8.8721775
21050518,53.0858499,8.8724121
21050519,53.0847409,8.8731193
21050520,53.0851659,8.873101
21050523,53.0832587,8.8745293
21050524,53.0833436,8.8747857
21050527,53.0828058,8.8753029
21050528,53.0829814,8.8768672
21050529,53.0824538,8.8751861
21050530,53.0820854,8.8755302
21050531,53.0821091,8.8760202
21050532,53.0824945,8.8756975
21050539,53.0790951,8.8784541
21050540,53.0791149,8.8787822
21050541,53.078899,8.8786251
21050542,53.0789192,8.8789454
21050547,53.0767421,8.8806226
21050698,53.1081043,8.8649069
21063409,53.0903315,8.8629196
21063413,53.0893458,8.8587135
21063414,53.0888736,8.8562682
21063426,53.0852561,8.8498563
21063438,53.0869648,8.8510656
21069511,53.0969714,8.8865197
21069515,53.0961009,8.8886372
21069520,53.0949127,8.8906289
21069521,53.0946709,8.8905184
21069583,53.0993661,8.861538
21069584,53.0992637,8.8625896
21095886,53.0922259,8.8666025
21095910,53.0944065,8.8704506
21095912,53.0933493,8.8704519
21095913,53.0910821,8.8672956
21095915,53.0946611,8.8501291
21095917,53.0931789,8.8477044
21095918,53.0959229,8.8522387
21096059,53.0746113,8.869527
21096069,53.0792999,8.8923695
21096075,53.0784465,8.9101576
21096076,53.0784301,8.9116676
21096107,53.0870099,8.8471604
21096110,53.0861887,8.8492678
21096111,53.085844,8.8496849
21096135,53.0886542,8.851869
21096145,53.0930765,8.8527542
21096257,53.0893799,8.8509046
21096259,53.0899312,8.8504063
21096263,53.0925453,8.8486545
21096277,53.0890861,8.8501302
21096503,53.0887285,8.8425195
21105772,53.1069393,8.8748162
21105775,53.10707,8.874197
21106532,53.1128461,8.8697554
21107573,53.1013033,8.8747854
21107574,53.0995296,8.8720323
21108148,53.0980451,8.8748066
21108150,53.0977764,8.8774904
21108153,53.0997574,8.8764599
21108176,53.1009165,8.8823686
21110231,53.107892,8.8648566
21110242,53.1159631,8.873136
21110248,53.1091096,8.8877174
21110251,53.1089932,8.8886961
21110255,53.1053774,8.8840746
21110266,53.1014208,8.8773514
21112028,53.1107691,8.8677329
21112029,53.1111428,8.8679059
21112043,53.0921536,8.8698533
21112044,53.092324,8.8712412
21112117,53.1013836,8.8737772
21112137,53.1134057,8.8592093
21112149,53.1398028,8.7422633
21150873,53.1079062,8.8729365
21150875,53.1125134,8.8624443
21261601,53.0914509,8.835177
21261604,53.0925722,8.8320819
21261605,53.0944411,8.8334739
21261608,53.0935507,8.8367151
21261611,53.092672,8.8413789
21261613,53.0916252,8.8439824
21261614,53.0914238,8.8444968
21261615,53.0910224,8.8455203
21261624,53.0877145,8.849996
21261659,53.0867899,8.8560592
21261665,53.0858785,8.8576547
21261666,53.088615,8.8555433
21261679,53.0872229,8.8594585
21261680,53.0890254,8.8579754
21261689,53.0894306,8.8592654
21268863,53.0370291,8.8789011
